69.3079,-50.9766,52.897,69.3079,50.2078,136.18
69.6315,-51.2071,53.137,69.6315,50.4344,136.9
69.9551,-51.4375,53.377,69.9551,50.6611,137.62
70.2787,-51.668,53.6169,70.2787,50.8877,138.34
70.6023,-51.8984,53.8569,70.6023,51.1144,139.06
70.9259,-52.1289,54.0969,70.9259,51.341,139.78
71.2495,-52.3593,54.3369,71.2495,51.5677,140.5
71.5731,-52.5898,54.5768,71.5731,51.7943,141.22
71.8967,-52.8202,54.8168,71.8967,52.021,141.94
72.2202,-53.0507,55.0568,72.2202,52.2476,142.66
72.5438,-53.2811,55.2968,72.5438,52.4743,143.38
72.8674,-53.5116,55.5367,72.8674,52.7009,144.1
73.191,-53.742,55.7767,73.191,52.9276,144.82
73.5146,-53.9725,56.0167,73.5146,53.1542,145.54
73.8382,-54.2029,56.2567,73.8382,53.3809,146.26
74.1618,-54.4334,56.4966,74.1618,53.6075,146.98
74.4854,-54.6638,56.7366,74.4854,53.8342,147.7
74.809,-54.8943,56.9766,74.809,54.0608,148.42
75.1326,-55.1247,57.2166,75.1326,54.2875,149.14
75.4562,-55.3552,57.4565,75.4562,54.5141,149.86
75.7798,-55.5856,57.6965,75.7798,54.7408,150.58
76.1034,-55.8161,57.9365,76.1034,54.9675,151.3
76.427,-56.0465,58.1764,76.427,55.1941,152.02
76.7506,-56.277,58.4164,76.7506,55.4208,152.74
77.0742,-56.5074,58.6564,77.0742,55.6474,153.46
77.3978,-56.7379,58.8964,77.3978,55.8741,154.18
77.7214,-56.9683,59.1363,77.7214,56.1007,154.9
78.045,-57.1988,59.3763,78.045,56.3274,155.62
78.3686,-57.4292,59.6163,78.3686,56.554,156.34
78.6922,-57.6597,59.8563,78.6922,56.7807,157.06
79.0157,-57.8901,60.0962,79.0157,57.0073,157.78
79.3393,-58.1206,60.3362,79.3393,57.234,158.5
79.6629,-58.351,60.5762,79.6629,57.4606,159.22
79.9865,-58.5815,60.8162,79.9865,57.6873,159.94
80.3101,-58.8119,61.0561,80.3101,57.9139,160.66
80.6337,-59.0424,61.2961,80.6337,58.1406,161.38
80.9573,-59.2728,61.5361,80.9573,58.3672,162.1
81.2809,-59.5033,61.776,81.2809,58.5939,162.82
81.6045,-59.7337,62.016,81.6045,58.8205,163.54
81.9281,-59.9642,62.256,81.9281,59.0472,164.26
82.2517,-60.1946,62.496,82.2517,59.2738,164.98
82.5753,-60.4251,62.7359,82.5753,59.5005,165.7
82.8989,-60.6555,62.9759,82.8989,59.7271,166.42
83.2225,-60.886,63.2159,83.2225,59.9538,167.14
83.5461,-61.1164,63.4559,83.5461,60.1804,167.86
83.8697,-61.3469,63.6958,83.8697,60.4071,168.58
84.1933,-61.5773,63.9358,84.1933,60.6337,169.3
84.5169,-61.8078,64.1758,84.5169,60.8604,170.02
84.8405,-62.0382,64.4158,84.8405,61.087,170.74
85.1641,-62.2687,64.6557,85.1641,61.3137,171.46
85.4876,-62.4991,64.8957,85.4876,61.5403,172.18
85.8112,-62.7296,65.1357,85.8112,61.767,172.9
86.1348,-62.96,65.3757,86.1348,61.9937,173.62
86.4584,-63.1905,65.6156,86.4584,62.2203,174.34
86.782,-63.4209,65.8556,86.782,62.447,175.06
87.1056,-63.6514,66.0956,87.1056,62.6736,175.78
87.4292,-63.8818,66.3355,87.4292,62.9003,176.5
87.7528,-64.1123,66.5755,87.7528,63.1269,177.22
88.0764,-64.3427,66.8155,88.0764,63.3536,177.94
88.4,-64.5732,67.0555,88.4,63.5802,178.66
88.7236,-64.8036,67.2954,88.7236,63.8069,179.38
89.0472,-65.0341,67.5354,89.0472,64.0335,180.1
89.3708,-65.2645,67.7754,89.3708,64.2602,180.82
89.6944,-65.495,68.0154,89.6944,64.4868,181.54
90.018,-65.7254,68.2553,90.018,64.7135,182.26
90.3416,-65.9559,68.4953,90.3416,64.9401,182.98
90.6652,-66.1863,68.7353,90.6652,65.1668,183.7
90.9888,-66.4168,68.9753,90.9888,65.3934,184.42
91.3124,-66.6472,69.2152,91.3124,65.6201,185.14
91.636,-66.8777,69.4552,91.636,65.8467,185.86
91.9595,-67.1081,69.6952,91.9595,66.0734,186.58
92.2831,-67.3386,69.9352,92.2831,66.3,187.3
92.6067,-67.569,70.1751,92.6067,66.5267,188.02
92.9303,-67.7995,70.4151,92.9303,66.7533,188.74
93.2539,-68.0299,70.6551,93.2539,66.98,189.46
93.5775,-68.2604,70.895,93.5775,67.2066,190.18
93.9011,-68.4908,71.135,93.9011,67.4333,190.9
94.2247,-68.7213,71.375,94.2247,67.6599,191.62
94.5483,-68.9517,71.615,94.5483,67.8866,192.34
94.8719,-69.1821,71.8549,94.8719,68.1132,193.06
95.1955,-69.4126,72.0949,95.1955,68.3399,193.78
95.5191,-69.643,72.3349,95.5191,68.5666,194.5
95.8427,-69.8735,72.5749,95.8427,68.7932,195.22
96.1663,-70.1039,72.8148,96.1663,69.0199,195.94
96.4899,-70.3344,73.0548,96.4899,69.2465,196.66
96.8135,-70.5648,73.2948,96.8135,69.4732,197.38
97.1371,-70.7953,73.5348,97.1371,69.6998,198.1
97.4607,-71.0257,73.7747,97.4607,69.9265,198.82
97.7843,-71.2562,74.0147,97.7843,70.1531,199.54
98.1079,-71.4866,74.2547,98.1079,70.3798,200.26
98.4315,-71.7171,74.4946,98.4315,70.6064,200.98
98.755,-71.9475,74.7346,98.755,70.8331,201.7
99.0786,-72.178,74.9746,99.0786,71.0597,202.42
99.4022,-72.4084,75.2146,99.4022,71.2864,203.14
99.7258,-72.6389,75.4545,99.7258,71.513,203.86
100.049,-72.8693,75.6945,100.049,71.7397,204.58
100.373,-73.0998,75.9345,100.373,71.9663,205.3
100.697,-73.3302,76.1745,100.697,72.193,206.02
101.02,-73.5607,76.4144,101.02,72.4196,206.74
101.344,-73.7911,76.6544,101.344,72.6463,207.46
101.667,-74.0216,76.8944,101.667,72.8729,208.18
101.991,-74.252,77.1344,101.991,73.0996,208.9
102.315,-74.4825,77.3743,102.315,73.3262,209.62
102.638,-74.7129,77.6143,102.638,73.5529,210.34
102.962,-74.9434,77.8543,102.962,73.7795,211.06
103.285,-75.1738,78.0943,103.285,74.0062,211.78
103.609,-75.4043,78.3342,103.609,74.2328,212.5
103.933,-75.6347,78.5742,103.933,74.4595,213.22
104.256,-75.8652,78.8142,104.256,74.6861,213.94
104.58,-76.0956,79.0541,104.58,74.9128,214.66
104.903,-76.3261,79.2941,104.903,75.1395,215.38
105.227,-76.5565,79.5341,105.227,75.3661,216.1
105.551,-76.787,79.7741,105.551,75.5928,216.82
105.874,-77.0174,80.014,105.874,75.8194,217.54
106.198,-77.2479,80.254,106.198,76.0461,218.26
106.521,-77.4783,80.494,106.521,76.2727,218.98
106.845,-77.7088,80.734,106.845,76.4994,219.7
107.169,-77.9392,80.9739,107.169,76.726,220.42
107.492,-78.1697,81.2139,107.492,76.9527,221.14
107.816,-78.4001,81.4539,107.816,77.1793,221.86
108.139,-78.6306,81.6939,108.139,77.406,222.58
108.463,-78.861,81.9338,108.463,77.6326,223.3
108.786,-79.0915,82.1738,108.786,77.8593,224.02
109.11,-79.3219,82.4138,109.11,78.0859,224.74
109.434,-79.5524,82.6537,109.434,78.3126,225.46
109.757,-79.7828,82.8937,109.757,78.5392,226.18
110.081,-80.0133,83.1337,110.081,78.7659,226.9
110.404,-80.2437,83.3737,110.404,78.9925,227.62
110.728,-80.4742,83.6136,110.728,79.2192,228.34
111.052,-80.7046,83.8536,111.052,79.4458,229.06
