point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5,canfd_call_timestamp_us
79,1744086627638373,1.756110,-1.742320,1.744060,1.756110,1.741520,1.806670,0.287000,-0.184000,0.196000,0.233000,0.189000,0.241000,623.000000,-3027.000000,-460.000000,386.000000,90.000000,104.000000,1744086627638336
81,1744086627642779,1.887340,-1.872490,1.874770,1.887340,1.871420,1.937890,0.306000,-0.208000,0.223000,0.255000,0.223000,0.276000,804.000000,-2977.000000,-242.000000,456.000000,236.000000,295.000000,1744086627642656
83,1744086627648266,2.025120,-2.008250,2.011310,2.025120,2.006810,2.075680,0.372000,-0.273000,0.302000,0.320000,0.291000,0.337000,196.000000,-2627.000000,-828.000000,131.000000,195.000000,328.000000,1744086627646983
85,1744086627652695,2.169630,-2.149430,2.153530,2.169630,2.147520,2.220190,0.413000,-0.310000,0.339000,0.368000,0.322000,0.374000,143.000000,-2788.000000,-691.000000,138.000000,52.000000,382.000000,1744086627651323
88,1744086627658251,2.399340,-2.371030,2.377140,2.399340,2.368220,2.449900,0.413000,-0.310000,0.339000,0.368000,0.322000,0.374000,143.000000,-2788.000000,-691.000000,138.000000,52.000000,382.000000,1744086627657860
91,1744086627664940,2.645010,-2.603930,2.612610,2.645010,2.599990,2.695630,0.435000,-0.337000,0.365000,0.396000,0.354000,0.410000,-48.000000,-2817.000000,-582.000000,-4.000000,80.000000,189.000000,1744086627664324
93,1744086627669439,2.817610,-2.765210,2.775920,2.817610,2.760400,2.868610,0.479000,-0.388000,0.409000,0.453000,0.379000,0.432000,280.000000,-2642.000000,-417.000000,-37.000000,35.000000,215.000000,1744086627668672
95,1744086627675062,2.997080,-2.931120,2.944100,2.997080,2.925330,3.049120,0.543000,-0.483000,0.494000,0.546000,0.469000,0.561000,993.000000,-3304.000000,2.000000,238.000000,351.000000,362.000000,1744086627673003
98,1744086627679572,3.278820,-3.188300,3.205160,3.278820,3.180850,3.334330,0.598000,-0.553000,0.572000,0.608000,0.520000,0.611000,452.000000,-2781.000000,-632.000000,143.000000,205.000000,290.000000,1744086627679471
100,1744086627685052,3.474770,-3.365060,3.384820,3.474770,3.356390,3.534330,0.639000,-0.596000,0.619000,0.645000,0.591000,0.689000,377.000000,-2443.000000,-690.000000,327.000000,-22.000000,208.000000,1744086627683810
103,1744086627690481,3.780480,-3.637780,3.662360,3.780480,3.627090,3.849330,0.712000,-0.671000,0.701000,0.705000,0.638000,0.744000,140.000000,-2485.000000,-759.000000,395.000000,65.000000,149.000000,1744086627690348
105,1744086627694856,3.991900,-3.824410,3.852500,3.991900,3.812240,4.069330,0.712000,-0.671000,0.701000,0.705000,0.638000,0.744000,140.000000,-2485.000000,-759.000000,395.000000,65.000000,149.000000,1744086627694707
107,1744086627700275,4.209240,-4.014700,4.046560,4.209240,4.000950,4.297330,0.822000,-0.791000,0.821000,0.824000,0.747000,0.852000,962.000000,-3141.000000,317.000000,340.000000,423.000000,708.000000,1744086627699062
109,1744086627704617,4.432330,-4.208500,4.244370,4.432330,4.193070,4.533330,0.822000,-0.791000,0.821000,0.824000,0.747000,0.852000,962.000000,-3141.000000,317.000000,340.000000,423.000000,708.000000,1744086627703401
112,1744086627710070,4.777390,-4.505410,4.547770,4.777390,4.487280,4.902330,0.975000,-0.924000,0.971000,0.972000,0.933000,1.018000,281.000000,-2905.000000,-324.000000,50.000000,131.000000,190.000000,1744086627709919
115,1744086627716585,5.134500,-4.809310,4.858720,5.134500,4.788250,5.289330,0.975000,-0.924000,0.971000,0.972000,0.933000,1.018000,281.000000,-2905.000000,-324.000000,50.000000,131.000000,190.000000,1744086627716408
117,1744086627721994,5.378990,-5.015530,5.069940,5.378990,4.992380,5.557330,1.023000,-1.021000,1.063000,1.058000,1.039000,1.124000,169.000000,-2761.000000,-721.000000,204.000000,-39.000000,257.000000,1744086627720746
120,1744086627727440,5.754960,-5.329870,5.392260,5.754960,5.303410,5.974330,1.152000,-1.192000,1.219000,1.208000,1.211000,1.282000,266.000000,-3154.000000,-769.000000,353.000000,148.000000,311.000000,1744086627727271
122,1744086627731828,6.011530,-5.542550,5.610570,6.011530,5.513750,6.262330,1.248000,-1.284000,1.297000,1.312000,1.304000,1.382000,514.000000,-3185.000000,-42.000000,304.000000,201.000000,583.000000,1744086627731592
124,1744086627737238,6.272650,-5.757520,5.831420,6.272650,5.726300,6.558330,1.355000,-1.399000,1.396000,1.429000,1.417000,1.476000,1554.000000,-3863.000000,439.000000,447.000000,444.000000,677.000000,1744086627735929
127,1744086627742692,6.672510,-6.083970,6.167150,6.672510,6.048910,7.017330,1.451000,-1.485000,1.485000,1.516000,1.499000,1.557000,966.000000,-3497.000000,30.000000,250.000000,359.000000,362.000000,1744086627742391
129,1744086627747207,6.944310,-6.304010,6.393690,6.944310,6.266260,7.333330,1.451000,-1.485000,1.485000,1.516000,1.499000,1.557000,966.000000,-3497.000000,30.000000,250.000000,359.000000,362.000000,1744086627746744
131,1744086627751721,7.220100,-6.525790,6.622220,7.220100,6.485260,7.657330,1.759000,-1.748000,1.729000,1.788000,1.708000,1.755000,255.000000,-2519.000000,-582.000000,127.000000,216.000000,246.000000,1744086627751086
133,1744086627757289,7.499720,-6.749160,6.852580,7.499720,6.705750,7.989330,1.862000,-1.852000,1.830000,1.897000,1.796000,1.838000,279.000000,-2892.000000,-288.000000,-50.000000,124.000000,241.000000,1744086627755418
135,1744086627761758,7.783010,-6.973960,7.084620,7.783010,6.927560,8.329330,1.940000,-1.936000,1.917000,1.984000,1.941000,1.991000,239.000000,-2635.000000,-313.000000,187.000000,239.000000,346.000000,1744086627759705
139,1744086627768381,8.359960,-7.427180,7.553080,8.359960,7.374510,9.033330,1.940000,-1.936000,1.917000,1.984000,1.941000,1.991000,239.000000,-2635.000000,-313.000000,187.000000,239.000000,346.000000,1744086627768312
141,1744086627772781,8.653310,-7.655280,7.789170,8.653310,7.599330,9.397330,2.070000,-2.059000,2.043000,2.127000,2.057000,2.095000,1473.000000,-3420.000000,204.000000,801.000000,458.000000,524.000000,1744086627772665
143,1744086627778325,8.949680,-7.884180,8.026300,8.949680,7.824840,9.769330,2.362000,-2.329000,2.345000,2.447000,2.285000,2.373000,536.000000,-2899.000000,-654.000000,101.000000,211.000000,424.000000,1744086627777008
145,1744086627782801,9.248930,-8.113690,8.264300,9.248930,8.050860,10.149300,2.471000,-2.422000,2.451000,2.561000,2.427000,2.550000,326.000000,-2613.000000,-458.000000,380.000000,88.000000,181.000000,1744086627781366
148,1744086627788388,9.702830,-8.458790,8.622590,9.702830,8.390540,10.734300,2.644000,-2.565000,2.607000,2.724000,2.537000,2.655000,213.000000,-2724.000000,-699.000000,316.000000,9.000000,387.000000,1744086627787916
151,1744086627795104,10.162300,-8.804390,8.981950,10.162300,8.730510,11.337300,2.644000,-2.565000,2.607000,2.724000,2.537000,2.655000,213.000000,-2724.000000,-699.000000,316.000000,9.000000,387.000000,1744086627794408
152,1744086627798470,10.316600,-8.919610,9.101880,10.316600,8.843830,11.542300,2.761000,-2.679000,2.731000,2.838000,2.693000,2.867000,498.000000,-2655.000000,-174.000000,8.000000,165.000000,316.000000,1744086627796551
155,1744086627804094,10.782600,-9.265290,9.461810,10.782600,9.183810,12.169300,3.100000,-2.959000,3.030000,3.154000,2.914000,3.154000,1611.000000,-3787.000000,335.000000,421.000000,327.000000,708.000000,1744086627802998
157,1744086627808494,11.095700,-9.495740,9.701790,11.095700,9.410460,12.597300,3.311000,-3.133000,3.209000,3.313000,3.118000,3.360000,497.000000,-3083.000000,-687.000000,172.000000,149.000000,392.000000,1744086627807363
160,1744086627813980,11.568600,-9.841410,10.061700,11.568600,9.750440,13.254300,3.473000,-3.264000,3.319000,3.453000,3.234000,3.523000,307.000000,-3209.000000,-615.000000,499.000000,-25.000000,439.000000,1744086627813892
163,1744086627820506,12.044900,-10.187100,10.421700,12.044900,10.090400,13.929300,3.674000,-3.419000,3.481000,3.655000,3.398000,3.729000,57.000000,-3060.000000,-542.000000,221.000000,76.000000,92.000000,1744086627820391
165,1744086627824901,12.364100,-10.417500,10.661700,12.364100,10.317100,14.389300,3.674000,-3.419000,3.481000,3.655000,3.398000,3.729000,57.000000,-3060.000000,-542.000000,221.000000,76.000000,92.000000,1744086627824733
167,1744086627830353,12.684400,-10.648000,10.901700,12.684400,10.543700,14.857300,4.004000,-3.705000,3.740000,3.981000,3.679000,4.037000,1106.000000,-3307.000000,143.000000,732.000000,181.000000,498.000000,1744086627829075
169,1744086627834823,13.005600,-10.878400,11.141600,13.005600,10.770400,15.333300,4.148000,-3.831000,3.863000,4.137000,3.842000,4.280000,1305.000000,-3585.000000,645.000000,467.000000,513.000000,669.000000,1744086627833395
172,1744086627840366,13.488800,-11.224100,11.501600,13.488800,11.110300,16.062300,4.367000,-4.025000,4.059000,4.369000,4.036000,4.443000,954.000000,-3054.000000,-255.000000,273.000000,300.000000,550.000000,1744086627839909
175,1744086627847026,13.973300,-11.569800,11.861500,13.973300,11.450300,16.809299,4.589000,-4.210000,4.232000,4.615000,4.159000,4.687000,412.000000,-2840.000000,-438.000000,206.000000,50.000000,412.000000,1744086627846432
176,1744086627850416,14.135000,-11.685000,11.981500,14.135000,11.563700,17.062300,4.589000,-4.210000,4.232000,4.615000,4.159000,4.687000,412.000000,-2840.000000,-438.000000,206.000000,50.000000,412.000000,1744086627848603
179,1744086627855960,14.620300,-12.030700,12.341500,14.620300,11.903600,17.833300,4.927000,-4.476000,4.516000,4.953000,4.452000,5.166000,375.000000,-2705.000000,-295.000000,349.000000,245.000000,397.000000,1744086627855047
181,1744086627860405,14.943900,-12.261100,12.581500,14.943900,12.130300,18.357300,5.170000,-4.645000,4.647000,5.101000,4.562000,5.332000,724.000000,-2706.000000,-375.000000,55.000000,127.000000,489.000000,1744086627859306
184,1744086627865931,15.429300,-12.606800,12.941400,15.429300,12.470300,19.157900,5.340000,-4.773000,4.843000,5.305000,4.777000,5.633000,1262.000000,-3324.000000,291.000000,777.000000,329.000000,863.000000,1744086627865824
187,1744086627872426,15.914700,-12.952500,13.301400,15.914700,12.810200,19.975599,5.533000,-4.942000,5.020000,5.491000,4.897000,5.826000,1426.000000,-3604.000000,267.000000,393.000000,346.000000,661.000000,1744086627872317
189,1744086627876777,16.238300,-13.182900,13.541400,16.238300,13.036900,20.530001,5.533000,-4.942000,5.020000,5.491000,4.897000,5.826000,1426.000000,-3604.000000,267.000000,393.000000,346.000000,661.000000,1744086627876630
191,1744086627882183,16.561899,-13.413400,13.781300,16.561899,13.263500,21.091600,6.028000,-5.340000,5.431000,5.971000,5.299000,6.398000,274.000000,-2716.000000,-810.000000,247.000000,80.000000,411.000000,1744086627880942
193,1744086627886525,16.885500,-13.643800,14.021300,16.885500,13.490200,21.660200,6.185000,-5.465000,5.559000,6.135000,5.419000,6.608000,482.000000,-3193.000000,-494.000000,193.000000,41.000000,361.000000,1744086627885284
196,1744086627891971,17.370899,-13.989500,14.381300,17.370899,13.830200,22.525999,6.421000,-5.668000,5.765000,6.380000,5.649000,6.891000,218.000000,-2760.000000,-553.000000,156.000000,112.000000,369.000000,1744086627891740
199,1744086627898516,17.856300,-14.335200,14.741200,17.856300,14.170100,23.406700,6.569000,-5.791000,5.886000,6.547000,5.769000,7.083000,630.000000,-2990.000000,-126.000000,206.000000,303.000000,792.000000,1744086627898278
201,1744086627902909,18.179899,-14.565600,14.981200,18.179899,14.396800,24.001801,6.569000,-5.791000,5.886000,6.547000,5.769000,7.083000,630.000000,-2990.000000,-126.000000,206.000000,303.000000,792.000000,1744086627902597
203,1744086627908468,18.503500,-14.796100,15.221200,18.503500,14.623400,24.603300,7.102000,-6.163000,6.287000,7.120000,6.119000,7.638000,967.000000,-3026.000000,14.000000,205.000000,271.000000,671.000000,1744086627906895
205,1744086627912952,18.827101,-15.026500,15.461200,18.827101,14.850100,25.210699,7.292000,-6.299000,6.435000,7.273000,6.329000,7.955000,375.000000,-2524.000000,-224.000000,425.000000,167.000000,537.000000,1744086627911198
207,1744086627917397,19.150700,-15.257000,15.701100,19.150700,15.076800,25.824200,7.557000,-6.505000,6.648000,7.522000,6.523000,8.279000,366.000000,-2498.000000,-342.000000,85.000000,171.000000,133.000000,1744086627915534
211,1744086627925187,19.797800,-15.717900,16.181101,19.797800,15.530100,27.068100,7.803000,-6.648000,6.796000,7.695000,6.633000,8.499000,656.000000,-2807.000000,-342.000000,564.000000,300.000000,659.000000,1744086627924120
213,1744086627928595,20.121401,-15.948300,16.421000,20.121401,15.756700,27.698299,7.992000,-6.892000,7.046000,7.995000,6.792000,8.805000,1101.000000,-3477.000000,39.000000,431.000000,446.000000,799.000000,1744086627928445
215,1744086627934070,20.445000,-16.178801,16.660999,20.445000,15.983400,28.333799,8.153000,-7.034000,7.190000,8.187000,6.970000,9.170000,1036.000000,-3232.000000,-290.000000,662.000000,306.000000,1015.000000,1744086627932784
217,1744086627938463,20.768600,-16.409201,16.900999,20.768600,16.209999,28.974400,8.371000,-7.212000,7.366000,8.443000,7.124000,9.500000,1008.000000,-3174.000000,177.000000,407.000000,293.000000,579.000000,1744086627937118
220,1744086627943941,21.254000,-16.754900,17.261000,21.254000,16.549999,29.944599,8.659000,-7.432000,7.595000,8.742000,7.259000,9.788000,494.000000,-3008.000000,-332.000000,176.000000,227.000000,512.000000,1744086627943608
223,1744086627950617,21.739401,-17.100599,17.620899,21.739401,16.889999,30.925400,8.977000,-7.631000,7.811000,8.934000,7.466000,10.187000,207.000000,-2918.000000,-410.000000,227.000000,73.000000,420.000000,1744086627950063
225,1744086627955132,22.063000,-17.330999,17.860901,22.063000,17.116600,31.584900,9.190000,-7.803000,7.976000,9.276000,7.609000,10.394000,377.000000,-3036.000000,-355.000000,74.000000,208.000000,330.000000,1744086627954392
227,1744086627959636,22.386600,-17.561501,18.100901,22.386600,17.343300,32.248699,9.372000,-7.937000,8.112000,9.430000,7.855000,10.818000,412.000000,-2721.000000,-225.000000,322.000000,218.000000,536.000000,1744086627958662
230,1744086627965171,22.872000,-17.907101,18.460800,22.872000,17.683201,33.252201,9.698000,-8.112000,8.289000,9.673000,8.006000,11.182000,833.000000,-3198.000000,114.000000,337.000000,346.000000,800.000000,1744086627965094
232,1744086627969568,23.195601,-18.137600,18.700800,23.195601,17.909901,33.926102,9.890000,-8.340000,8.511000,9.952000,8.261000,11.597000,456.000000,-2490.000000,-187.000000,345.000000,282.000000,499.000000,1744086627969388
235,1744086627976191,23.681000,-18.483299,19.060801,23.681000,18.249901,34.943901,10.171000,-8.552000,8.735000,10.229000,8.451000,12.040000,223.000000,-2702.000000,-400.000000,195.000000,128.000000,350.000000,1744086627975871
237,1744086627980766,24.004601,-18.713699,19.300699,24.004601,18.476500,35.626999,10.431000,-8.721000,8.915000,10.459000,8.518000,12.156000,409.000000,-2738.000000,-429.000000,415.000000,405.000000,411.000000,1744086627980177
239,1744086627986411,24.328199,-18.944201,19.540701,24.328199,18.703199,36.313301,10.757000,-8.926000,9.118000,10.747000,8.745000,12.627000,1465.000000,-3181.000000,501.000000,720.000000,342.000000,1186.000000,1744086627984504
241,1744086627991015,24.651800,-19.174601,19.780701,24.651800,18.929800,37.002899,10.952000,-9.052000,9.283000,10.963000,8.874000,12.914000,1374.000000,-3295.000000,260.000000,393.000000,620.000000,1072.000000,1744086627988801
244,1744086627996573,25.137199,-19.520300,20.140600,25.137199,19.269800,38.042900,11.262000,-9.295000,9.525000,11.261000,9.107000,13.386000,479.000000,-2660.000000,-207.000000,373.000000,116.000000,340.000000,1744086627995392
247,1744086628002070,25.622601,-19.865999,20.500601,25.622601,19.609800,39.089199,11.549000,-9.440000,9.683000,11.482000,9.315000,13.841000,173.000000,-2765.000000,-491.000000,168.000000,178.000000,485.000000,1744086628001916
249,1744086628006503,25.946199,-20.096399,20.740601,25.946199,19.836399,39.790001,11.708000,-9.632000,9.901000,11.762000,9.457000,14.184000,367.000000,-2778.000000,-523.000000,359.000000,211.000000,360.000000,1744086628006223
251,1744086628012107,26.269699,-20.326900,20.980499,26.269699,20.063101,40.493198,11.939000,-9.803000,10.082000,12.001000,9.699000,14.698000,327.000000,-2939.000000,-185.000000,181.000000,206.000000,813.000000,1744086628010583
253,1744086628016649,26.593300,-20.557301,21.220501,26.593300,20.289700,41.198601,12.185000,-9.982000,10.254000,12.204000,9.886000,15.081000,829.000000,-3023.000000,-112.000000,702.000000,293.000000,834.000000,1744086628014897
256,1744086628022265,27.078699,-20.903000,21.580500,27.078699,20.629700,42.260601,12.499000,-10.211000,10.482000,12.492000,10.119000,15.579000,394.000000,-2914.000000,-313.000000,178.000000,151.000000,445.000000,1744086628021356
259,1744086628028992,27.564100,-21.248699,21.940399,27.564100,20.969700,43.326698,12.711000,-10.361000,10.634000,12.690000,10.255000,15.890000,317.000000,-2802.000000,-302.000000,553.000000,157.000000,437.000000,1744086628027842
261,1744086628033439,27.887699,-21.479099,22.180401,27.887699,21.196301,44.039398,13.003000,-10.575000,10.832000,13.003000,10.465000,16.384001,355.000000,-2852.000000,-406.000000,343.000000,-6.000000,447.000000,1744086628032169
263,1744086628037913,28.211300,-21.709600,22.420401,28.211300,21.423000,44.753700,13.293000,-10.715000,10.976000,13.215000,10.608000,16.698999,1166.000000,-2926.000000,-39.000000,495.000000,496.000000,1337.000000,1744086628036508
266,1744086628043558,28.696699,-22.055201,22.780300,28.696699,21.763000,45.827301,13.493000,-10.921000,11.207000,13.540000,10.821000,17.229000,1726.000000,-3593.000000,592.000000,639.000000,499.000000,1188.000000,1744086628043035
268,1744086628048077,29.020300,-22.285700,23.020300,29.020300,21.989599,46.544399,13.812000,-11.158000,11.472000,13.857000,11.049000,17.811001,691.000000,-3068.000000,-179.000000,38.000000,229.000000,684.000000,1744086628047402
271,1744086628054766,29.505699,-22.631399,23.380301,29.505699,22.329599,47.621700,14.125000,-11.376000,11.715000,14.150000,11.258000,18.108000,416.000000,-2957.000000,-731.000000,260.000000,93.000000,356.000000,1744086628053904
273,1744086628059282,29.829300,-22.861799,23.620300,29.829300,22.556299,48.340698,14.346000,-11.519000,11.872000,14.352000,11.381000,18.667000,330.000000,-2767.000000,-365.000000,178.000000,221.000000,335.000000,1744086628058208
275,1744086628063721,30.152901,-23.092300,23.860201,30.152901,22.782900,49.060200,14.668000,-11.741000,12.107000,14.655000,11.602000,19.035000,683.000000,-3153.000000,94.000000,407.000000,323.000000,993.000000,1744086628062564
278,1744086628069192,30.638300,-23.437901,24.220200,30.638300,23.122900,50.139999,14.911000,-11.944000,12.284000,14.911000,11.770000,19.708000,814.000000,-3012.000000,-47.000000,441.000000,290.000000,851.000000,1744086628069091
