point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
112,1743680385723482,31.204599,-23.841200,24.640100,31.204599,23.519501,51.400002,10.691000,-8.784000,8.996000,10.744000,8.690000,12.338000,51.000000,-3161.000000,14.000000,297.000000,286.000000,442.000000
114,1743680385726815,32.013599,-24.417299,25.240101,32.013599,24.086201,53.200001,11.318000,-9.264000,9.507000,11.395000,9.099000,12.950000,234.000000,-3060.000000,-640.000000,176.000000,233.000000,435.000000
116,1743680385732271,32.822498,-24.993500,25.840000,32.822498,24.652800,55.000000,12.554000,-10.108000,10.329000,12.363000,9.810000,14.744000,562.000000,-3120.000000,578.000000,241.000000,367.000000,2209.000000
119,1743680385737733,34.035999,-25.857599,26.739901,34.035999,25.502701,57.700001,12.554000,-10.108000,10.329000,12.363000,9.810000,14.744000,562.000000,-3120.000000,578.000000,241.000000,367.000000,2209.000000
121,1743680385742141,34.845001,-26.433800,27.339800,34.845001,26.069401,59.500000,13.062000,-10.482000,10.725000,13.180000,10.329000,15.467000,3085.000000,-4888.000000,1800.000000,1327.000000,953.000000,2670.000000
123,1743680385747659,35.653999,-27.009899,27.939800,35.653999,26.636000,61.299999,13.789000,-10.973000,11.267000,13.831000,10.640000,16.792999,1456.000000,-3754.000000,548.000000,139.000000,482.000000,1415.000000
126,1743680385753156,36.867500,-27.874100,28.839701,36.867500,27.485901,64.000000,14.284000,-11.302000,11.638000,14.276000,11.200000,17.980000,420.000000,-3230.000000,-145.000000,214.000000,393.000000,753.000000
129,1743680385758628,38.081001,-28.738300,29.739599,38.081001,28.335899,66.699997,14.926000,-11.766000,12.152000,14.957000,11.483000,18.799999,209.000000,-2995.000000,-248.000000,313.000000,234.000000,648.000000
131,1743680385762994,38.889999,-29.314400,30.339500,38.889999,28.902500,68.500000,15.490000,-12.282000,12.616000,15.633000,11.913000,19.955000,133.000000,-3117.000000,-244.000000,307.000000,280.000000,591.000000
133,1743680385768408,39.698898,-29.890499,30.939400,39.698898,29.469101,70.300003,15.975000,-12.606000,12.940000,16.055000,12.200000,20.753000,-93.000000,-3049.000000,-180.000000,97.000000,79.000000,1415.000000
136,1743680385773813,40.912399,-30.754700,31.839300,40.912399,30.319099,73.000000,16.653000,-13.091000,13.410000,16.730000,12.707000,22.028000,2590.000000,-4907.000000,1784.000000,1280.000000,932.000000,2349.000000
138,1743680385778200,41.721401,-31.330799,32.439301,41.721401,30.885700,74.800003,17.358999,-13.539000,13.970000,17.211000,13.212000,23.296000,2016.000000,-4182.000000,778.000000,832.000000,731.000000,1041.000000
140,1743680385783674,42.530399,-31.906900,33.039200,42.530399,31.452299,76.599998,17.841000,-13.893000,14.334000,17.856001,13.562000,24.158001,428.000000,-3053.000000,196.000000,221.000000,341.000000,889.000000
142,1743680385787995,43.339401,-32.483101,33.639099,43.339401,32.019001,78.400002,18.598000,-14.400000,14.824000,18.576000,14.057000,25.572001,258.000000,-3193.000000,-247.000000,299.000000,268.000000,897.000000
145,1743680385793400,44.552898,-33.347301,34.539101,44.552898,32.868900,81.099998,18.865999,-14.566000,14.988000,18.812000,14.427000,26.677999,200.000000,-3088.000000,-277.000000,316.000000,313.000000,796.000000
148,1743680385799862,45.766399,-34.211399,35.438999,45.766399,33.718899,83.800003,19.688000,-15.209000,15.629000,19.691000,14.780000,27.577999,511.000000,-3201.000000,546.000000,489.000000,425.000000,866.000000
150,1743680385805323,46.575298,-34.787601,36.038898,46.575298,34.285500,85.599998,20.348000,-15.559000,16.014999,20.146999,15.350000,29.156000,1588.000000,-3999.000000,1043.000000,816.000000,589.000000,867.000000
153,1743680385810750,47.788799,-35.651798,36.938801,47.788799,35.135399,88.300003,21.555000,-16.580999,17.070000,21.544001,16.086000,31.297001,761.000000,-3418.000000,178.000000,296.000000,421.000000,810.000000
155,1743680385815119,48.597801,-36.227901,37.538700,48.597801,35.702099,90.099998,21.555000,-16.580999,17.070000,21.544001,16.086000,31.297001,761.000000,-3418.000000,178.000000,296.000000,421.000000,810.000000
157,1743680385820562,49.406799,-36.804001,38.138699,49.406799,36.268700,91.900002,22.695999,-17.431000,17.986000,22.771000,17.063999,33.554001,90.000000,-3089.000000,103.000000,215.000000,318.000000,905.000000
160,1743680385826011,50.620300,-37.668201,39.038601,50.620300,37.118599,94.599998,23.142000,-17.777000,18.339001,23.229000,17.524000,34.883999,206.000000,-3131.000000,-145.000000,287.000000,81.000000,911.000000
162,1743680385830360,51.429298,-38.244301,39.638500,51.429298,37.685299,96.400002,23.142000,-17.777000,18.339001,23.229000,17.524000,34.883999,206.000000,-3131.000000,-145.000000,287.000000,81.000000,911.000000
164,1743680385835755,52.238300,-38.820400,40.238400,52.238300,38.251900,98.199997,24.367001,-18.649000,19.145000,24.400000,18.295000,37.018002,2412.000000,-4354.000000,1416.000000,1130.000000,867.000000,805.000000
166,1743680385840069,53.047199,-39.396599,40.838402,53.047199,38.818501,100.000000,24.367001,-18.649000,19.145000,24.400000,18.295000,37.018002,2412.000000,-4354.000000,1416.000000,1130.000000,867.000000,805.000000
169,1743680385845415,54.260700,-40.260700,41.738300,54.260700,39.668499,102.699997,25.113001,-19.120001,19.688000,25.083000,18.789000,38.376999,1697.000000,-3804.000000,1022.000000,285.000000,599.000000,848.000000
172,1743680385851797,55.474201,-41.124901,42.638199,55.474201,40.518398,105.400002,26.283001,-20.010000,20.683001,26.280001,19.746000,40.605000,11.000000,-2890.000000,-368.000000,384.000000,11.000000,908.000000
174,1743680385856114,56.283199,-41.701099,43.238098,56.283199,41.084999,107.199997,26.283001,-20.010000,20.683001,26.280001,19.746000,40.605000,11.000000,-2890.000000,-368.000000,384.000000,11.000000,908.000000
176,1743680385861610,57.092201,-42.277199,43.838001,57.092201,41.651699,109.000000,26.948000,-20.514999,21.177000,27.033001,20.004000,41.491001,121.000000,-2744.000000,-20.000000,398.000000,365.000000,775.000000
