point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
49,1743685860965983,6.272650,-5.757520,5.831420,6.272650,5.726300,6.558330,4.144000,-3.920000,3.971000,3.946000,3.997000,4.235000,992.000000,-3703.000000,161.000000,430.000000,213.000000,439.000000
50,1743685860970368,6.605200,-6.029250,6.110840,6.605200,5.994840,6.939580,4.426000,-4.158000,4.205000,4.276000,4.085000,4.360000,990.000000,-3738.000000,-134.000000,-40.000000,260.000000,795.000000
51,1743685860975809,6.944310,-6.304010,6.393690,6.944310,6.266260,7.333330,4.695000,-4.397000,4.426000,4.533000,4.408000,4.796000,1059.000000,-3437.000000,77.000000,1153.000000,255.000000,747.000000
52,1743685860981238,7.289650,-6.581490,6.679640,7.289650,6.540250,7.739580,4.941000,-4.648000,4.684000,4.861000,4.621000,5.137000,1210.000000,-3294.000000,417.000000,-143.000000,445.000000,855.000000
53,1743685860985580,7.640910,-6.861390,6.968400,7.640910,6.816500,8.158330,5.370000,-4.991000,5.059000,5.269000,4.883000,5.469000,1121.000000,-3389.000000,392.000000,-181.000000,410.000000,670.000000
54,1743685860991104,7.997790,-7.143390,7.259650,7.997790,7.094690,8.589580,5.729000,-5.244000,5.320000,5.578000,5.112000,5.828000,1194.000000,-3519.000000,-8.000000,1142.000000,225.000000,684.000000
55,1743685860995548,8.359960,-7.427180,7.553080,8.359960,7.374510,9.033330,6.074000,-5.498000,5.581000,5.851000,5.386000,6.171000,1102.000000,-3136.000000,257.000000,274.000000,324.000000,863.000000
56,1743685861001103,8.727120,-7.712440,7.848360,8.727120,7.655650,9.489580,6.236000,-5.651000,5.730000,6.053000,5.736000,6.616000,1107.000000,-3419.000000,594.000000,736.000000,364.000000,678.000000
57,1743685861005580,9.098950,-7.998870,8.145200,9.098950,7.937790,9.958330,6.664000,-6.005000,6.101000,6.373000,5.913000,6.877000,1084.000000,-3487.000000,47.000000,885.000000,286.000000,749.000000
58,1743685861011122,9.475150,-8.286140,8.443280,9.475150,8.220630,10.439600,6.881000,-6.157000,6.243000,6.720000,6.241000,7.371000,959.000000,-3519.000000,74.000000,2.000000,453.000000,778.000000
59,1743685861015598,9.855390,-8.573960,8.742290,9.855390,8.503850,10.933300,7.454000,-6.595000,6.704000,7.289000,6.462000,7.720000,880.000000,-3249.000000,100.000000,641.000000,288.000000,766.000000
60,1743685861021180,10.239400,-8.862000,9.041910,10.239400,8.787170,11.439600,7.723000,-6.790000,6.931000,7.579000,6.801000,8.278000,1069.000000,-3222.000000,-137.000000,167.000000,269.000000,554.000000
61,1743685861025704,10.626800,-9.150060,9.341830,10.626800,9.070480,11.958300,8.081000,-7.119000,7.274000,7.987000,7.099000,8.812000,805.000000,-3459.000000,92.000000,313.000000,323.000000,935.000000
62,1743685861031203,11.017300,-9.438130,9.641790,11.017300,9.353800,12.489600,8.316000,-7.349000,7.509000,8.242000,7.292000,9.173000,977.000000,-3227.000000,146.000000,824.000000,369.000000,716.000000
63,1743685861035588,11.410600,-9.726190,9.941760,11.410600,9.637110,13.033300,8.706000,-7.682000,7.812000,8.684000,7.588000,9.706000,968.000000,-3366.000000,-113.000000,754.000000,352.000000,847.000000
64,1743685861041060,11.806400,-10.014200,10.241700,11.806400,9.920430,13.589600,9.074000,-7.948000,8.070000,9.033000,7.878000,10.181000,1200.000000,-3482.000000,347.000000,396.000000,389.000000,991.000000
65,1743685861045438,12.204400,-10.302300,10.541700,12.204400,10.203700,14.158300,9.074000,-7.948000,8.070000,9.033000,7.878000,10.181000,1200.000000,-3482.000000,347.000000,396.000000,389.000000,991.000000
66,1743685861050888,12.604200,-10.590400,10.841700,12.604200,10.487100,14.739600,9.772000,-8.423000,8.585000,9.733000,8.443000,11.199000,582.000000,-2889.000000,132.000000,344.000000,310.000000,619.000000
67,1743685861056390,13.005600,-10.878400,11.141600,13.005600,10.770400,15.333300,10.346000,-8.867000,9.051000,10.288000,8.714000,11.672000,752.000000,-3202.000000,106.000000,287.000000,468.000000,741.000000
68,1743685861060749,13.408200,-11.166500,11.441600,13.408200,11.053700,15.939600,10.346000,-8.867000,9.051000,10.288000,8.714000,11.672000,752.000000,-3202.000000,106.000000,287.000000,468.000000,741.000000
69,1743685861066203,13.811700,-11.454600,11.741600,13.811700,11.337000,16.558300,10.773000,-9.144000,9.352000,10.670000,8.956000,12.225000,839.000000,-2765.000000,-48.000000,427.000000,303.000000,748.000000
70,1743685861071643,14.215900,-11.742600,12.041500,14.215900,11.620300,17.189600,11.196000,-9.431000,9.618000,11.060000,9.319000,12.899000,612.000000,-2886.000000,251.000000,572.000000,372.000000,609.000000
